pot,date,n_lesions,size_lesions,genotype_id,type,rep,row,column,fgcc
2502,2021-07-13,0,0,FLP455,FLIP,3,105,6,0.10756290576412506
2503,2021-07-13,0,0,FLP369,FLIP,3,105,7,0.06875957260446733
2504,2021-07-13,0,0,FLP574,FLIP,3,105,8,0.18225145543694812
2505,2021-07-13,0,0,VVL016,Vavilov,3,105,9,0.16120855526082303
2506,2021-07-13,0,0,FLP465,FLIP,3,105,10,0.16199687735147592
2507,2021-07-13,0,0,VVL171,Vavilov,3,105,11,0.13665132845367814
2508,2021-07-13,0,0,VVL226,Vavilov,3,105,12,0.04119148537545911
2509,2021-07-13,0,0,VVL087,Vavilov,3,105,13,0.05114156756168291
2510,2021-07-13,0,0,FLP071,FLIP,3,105,14,0.10805643514020608
2511,2021-07-13,0,0,FLP305,FLIP,3,105,15,0.13232880606585454
2512,2021-07-13,0,0,FLP415,FLIP,3,105,16,0.12347177551793095
2513,2021-07-13,0,0,FLP228,FLIP,3,105,17,0.09838789655778687
2514,2021-07-13,0,0,FLP480,FLIP,3,105,18,0.10439636829074624
2515,2021-07-13,0,0,VVL018,Vavilov,3,105,19,0.1629508133267197
2516,2021-07-13,0,0,FLP046,FLIP,3,105,20,0.16853862579281811
2517,2021-07-13,0,0,FLP431,FLIP,3,105,21,0.14140444694143817
2518,2021-07-13,0,0,VVL130,Vavilov,3,105,22,0.1589727678188453
2519,2021-07-13,0,0,VVL071,Vavilov,3,105,23,0.0974968938586876
2520,2021-07-13,0,0,VVL228,Vavilov,3,105,24,0.13733696993588462
289,2021-07-13,0,0,FLP128,FLIP,1,13,1,0.09861313144083056
290,2021-07-13,0,0,FLP238,FLIP,1,13,2,0.13204063790666631
291,2021-07-13,0,0,FLP239,FLIP,1,13,3,0.06405282600439276
292,2021-07-13,0,0,FLP240,FLIP,1,13,4,0.12943056308551307
313,2021-07-13,0,0,FLP252,FLIP,1,14,1,0.13834721463188937
314,2021-07-13,0,0,FLP253,FLIP,1,14,2,0.13622735690912532
315,2021-07-13,0,0,FLP254,FLIP,1,14,3,0.07071712872033227
316,2021-07-13,0,0,VVL091,Vavilov,1,14,4,0.14918829951721244
337,2021-07-13,0,0,FLP267,FLIP,1,15,1,0.0562722857063103
338,2021-07-13,0,0,FLP268,FLIP,1,15,2,0.1388274948972031
339,2021-07-13,0,0,FLP269,FLIP,1,15,3,0.09466158415449068
340,2021-07-13,0,0,FLP270,FLIP,1,15,4,0.09866944016159147
361,2021-07-13,0,0,VVL104,Vavilov,1,16,1,0.08501623151591421
362,2021-07-13,0,0,FLP283,FLIP,1,16,2,0.21049524731508737
363,2021-07-13,1,2.9810379984491917e-4,VVL105,Vavilov,1,16,3,0.13276602672117463
364,2021-07-13,2,9.771180106027905e-4,FLP284,FLIP,1,16,4,0.12006344177304935
293,2021-07-13,0,0,FLP241,FLIP,1,13,5,0.09365796401386955
294,2021-07-13,0,0,FLP242,FLIP,1,13,6,0.16902221833582368
295,2021-07-13,0,0,VVL082,Vavilov,1,13,7,0.09687749793031748
296,2021-07-13,0,0,VVL083,Vavilov,1,13,8,0.1429910279558194
317,2021-07-13,0,0,VVL092,Vavilov,1,14,5,0.17932008967968843
318,2021-07-13,0,0,FLP255,FLIP,1,14,6,0.1917113205247827
319,2021-07-13,0,0,VVL093,Vavilov,1,14,7,0.21991205279292836
320,2021-07-13,0,0,FLP256,FLIP,1,14,8,0.1651965376017729
