pot,di
2343,87.5
2344,67.5
2345,36.25
2346,77.5
2347,93.75
2348,90
2349,92.5
2350,76.25
2351,100
2352,50
2353,100
2354,100
2355,60
2356,55
2357,47.5
2358,87.5
2359,100
2360,100
2361,61.25
2362,82.5
2363,72.5
2364,55
2365,50
2366,100
2367,100
2368,80
2369,88.333333333333329
2370,41.25
2371,61.25
2372,100
2373,21.25
2374,90
2375,NA
2376,100
2377,90
2378,65
2379,77.5
2380,60
2381,100
2382,100
2383,76.25
2384,33.75
2385,70
2386,100
2387,65
2388,68.75
2389,96.25
2390,46.25
2391,100
2392,72.5
2393,22.5
2394,80
2395,73.75
2396,72.5
2397,NA
2398,100
2399,100
2400,100
